Project Link,Bug ID,Bug Title,Description,Steps to Reproduce,Expected Result,Actual Result,Severity,Priority,QA Status,DEV Status,Attachment,Reported By,Final_Status
,AD-12,Admin Panel – Student Login Redirects to Bad Gateway,"When a student tries to log in using their credentials in the Admin Panel, the system fails to handle the login and redirects to a Bad Gateway (502) error page.","1. Navigate to the Admin Panel login page.
2. Enter valid student credentials.
3. Click Login.
4. Observe the resulting page.",The system should display a proper access denied message or prevent login gracefully.,The system redirects to a Bad Gateway (502) error page.,Major,High,Re-test,Fixed ,https://drive.google.com/file/d/1HyNhRJyXoeK81ZX68Cs0HP_qml1JpA5H/view?usp=drive_link,Lamiya QA,Done
,AD-13,FAQ Page Redirects to Access Denied,"In the admin panel, clicking on the FAQ option under Legal Pages redirects to an ""Access Denied"" page instead of opening the FAQ management page.","1. Log in to the admin panel
2. Go to Legal Pages
3. Click on FAQ","The FAQ page should open successfully, allowing the admin to view or manage FAQs.","The system redirects to an ""Access Denied"" page.",Major,High,Re-test,Fixed ,https://drive.google.com/file/d/1TPkBH5NcXAdJu-81iOXNvz_TumpmVxVj/view?usp=drive_link,,Done
,AD-14,"""502 Bad Gateway"" Error on Invalid Currency Update","When updating System Information with an invalid currency value, the system redirects to a “502 Bad Gateway” page.","1. Go to admin panel
2. click settings management 
3.click business setting
4. Enter an invalid currency value
5 Click update","A proper validation error message should be shown (e.g., “Invalid currency value”)",System redirects to a “502 Bad Gateway” error page,Critical,High,Re-test,Fixed ,https://drive.google.com/file/d/1RdLpCWIFwAaKoP_1sNjU1eQrGI3fuCfB/view?usp=drive_link,Lamiya QA,Done
,AD-15,Admin Cannot update Own Permissions,"In the admin panel, the admin is unable to set or update permissions for their own account.","1. Log in as admin
2. Go to Role & Permission settings
3. Try to update own permissions",Admin should be able to set or update their own permissions,Admin cannot set or update their own permissions,Critical,High,Re-test,Fixed ,https://drive.google.com/file/d/1-RpfyuW0HLp9hzDb9_D82ma3dC18QsyC/view?usp=drive_link,Lamiya QA,Done
,Ad-16,Error When Admin Updates Role & Permission for Organization,"When the admin tries to set or update roles and permissions for an organization and clicks the update button, an error occurs.","1. Log in as admin
2. Go to Role & Permission settings
3. Select an organization
4. Set or update roles and permissions
5. Click “Update”",Roles and permissions should be updated successfully,Got error after clicking the “Update” button,Critical,High,Re-test,Fixed ,https://drive.google.com/file/d/1kwrWBJy8L2J6MkLo0V8hQkxwfOwl9cUV/view?usp=drive_link,Lamiya QA,Done
,AD-17,Error When Searching Subscriber by ID in subscriber list,"When searching a subscriber by ID in the subscriber list, the system shows an error:
“HTTP 500 Internal Server Error”.","1. Go to Subscriber List
2. Search by subscriber ID
3. Observe the result",Subscriber details should be shown correctly based on the searched ID,System shows error: “Call to undefined method App\Models\Subscriber::user()”,Critical,High,Re-test,Fixed ,https://drive.google.com/file/d/1-IzdjB2lousbsCjB62OzDGv-wy1_NSld/view?usp=drive_link,Lamiya QA,Done
,AD-18,Payment Bypass via Receipt Upload Without Validation in manual subscriber,"In the manual subscriber process, any uploaded image as a payment receipt is accepted without validation, and the system assigns a paid plan instantly. This allows users to bypass actual payment verification.","1. Go to Admin panel
2. Click Subscriber management
3. Click Manual Subscriber section
4. Add a new subscriber
5. Upload any random image as receipt
6. Click Assign Plan",Receipt should be verified and plan assigned only after approval,Any image is accepted and paid plan is assigned instantly,Critical,High,Re-test,Fixed ,,Lamiya QA,Done
,AD-19,Missing Eye Icon in Password Field on all Update Profile or create org page,"On the admin update profile page, the password field does not have an eye icon to toggle password visibility.","1. Log in to the admin panel
2. Go to the update profile page
3. Check the password field",The password field should include an eye icon to show/hide the password.,The password field does not have an eye icon for visibility toggle.,Major,High,Re-test,Fixed ,https://drive.google.com/file/d/1Yxqx7qje6-92vRJmx5ewweG-EIAjWTut/view?usp=drive_link,Lamiya QA,Done
,AD-20,Unauthorized Email Error When Logging in with Admin-Created Organization,"When an admin creates a new organization account, logging in to the organization panel using that email shows an ""Unauthorized Email"" error.","1. Log in to the admin panel
2. Create a new organization account
3. Log out from admin
4. Go to the organization login panel
5. Try to log in using the created organization email1",The organization should be able to log in successfully using the provided email credentials.,"An ""Unauthorized Email"" error is shown during login.",Critical,High,Re-test,Fixed ,,Lamiya QA,Done
,AD-21,413 Request Entity Too Large Error When Uploading Small Video,"While creating a new course, uploading a very small video file (0.5 seconds) triggers a ""413 Request Entity Too Large"" error.","1. Log in to the admin panel
2. Go to create a new course
3. Try to upload a short video (e.g., 0.5 seconds)
4. Submit the form","The video should upload successfully without any error, especially since the file size is very small.","A ""413 Request Entity Too Large"" error is shown even for a very small video file.",Critical,High,Re-test,Fixed ,https://drive.google.com/file/d/1sPw8h3Yx8CbvqSlyklqJzJ9E6CHfbfAX/view?usp=drive_link,Lamiya QA,Done
,AD-22,No Phone Number Validation When Creating New Organization,"While creating a new organization, there is no proper phone number validation. Invalid numbers (e.g., very short numbers like “54”) are accepted and the organization profile is created successfully.","1. Go to create a new organization through admin panel
2. Enter an invalid phone number (e.g., 54)
3. Submit the form",The system should validate the phone number and show an error for invalid input.,The system accepts invalid phone numbers and creates the organization profile successfully.,Major,High,Re-test,Fixed ,https://drive.google.com/file/d/1TxcqFkCRx-621McNyqEnwQStYY-ibS6m/view?usp=drive_link,Lamiya QA,Done
,AD-23,File Type Selection Not Working in Chapter,"In the chapter section, selecting different file types (e.g., Upload Files, Cloud Links) does not trigger any change in the UI or input fields.","1. Go to chapter creation/edit section
2. Select file type options (e.g., Upload Files, Cloud Links)
3. Observe the form","The form should update based on the selected file type (e.g., show upload option or link input field accordingly).",No changes occur when selecting different file types; the form remains the same.,Major,High,Re-test,Fixed ,https://drive.google.com/file/d/1yyGET6ae90MNKT4hTbQbWGqcKbD4feek/view?usp=drive_link,Lamiya QA,Done
,AD-24,Certificate Logo Not Updating in Downloaded Certificate,"In the admin panel, when the certificate logo is changed, the updated logo does not appear in the downloaded certificate. Instead, no logo is visible.","1. Log in to the admin panel
2. Go to certificate settings
3. Change/upload a new certificate logo
4. Save the changes
5. Download a certificate",The downloaded certificate should display the updated logo.,The logo is not updated and no logo appears in the downloaded certificate.,Critical,High,Re-test,Fixed ,https://drive.google.com/file/d/1mcnDjhrtfSw90MUKiSnUpCORxprJMepO/view?usp=drive_link,Lamiya QA,Done
,AD-25,Unable to Remove Extra Course Outline,"In course management, extra course outline items cannot be removed or deleted.","1. Go to course management
2. Click on a course
3. Navigate to the course outline section
4. Try to remove any extra outline item",User should be able to delete/remove extra course outline items.,Extra course outline items cannot be removed.,Major,High,Re-test,Fixed ,https://drive.google.com/file/d/1r4kXKStUIRUNyhjehH-8HGmNEI0_yZZ3/view?usp=drive_link,Lamiya QA,Done
